,geonameid,name,population,latitude,longitude,feature_code,modification_date,admin1_code,admin2_code,admin3_code,admin4_code,belongs_to_metrocity,belongs_to_metrocity_id,metrocity_impact,metrocity_population,is_metrocity,metrocity_radius
23636,776707,Andruszkowice,312,50.66742,21.6989,PPL,2010-09-07,84,2609,260907,,,,0.0,312,0,
47891,3104115,Andrychów,21954,49.85497,19.33834,PPLA3,2019-10-15,77,1218,121801,,Kraków,3094802,0.45672432560240966,21954,0,
23633,776704,Andrzejewo,900,52.83098,22.20277,PPL,2010-09-07,78,1416,141602,,,,0.0,900,0,
23632,776703,Andrzejewo,79,54.28808,23.10142,PPL,2015-01-15,81,2012,201208,,,,0.0,79,0,
47887,3104111,Andrzejów,500,51.74074,19.6106,PPL,2012-11-27,74,1061,106101,,Łódź,3093133,0.7437734248668133,500,0,
23606,776677,Annopol,2654,50.88551,21.85678,PPLA3,2010-10-11,75,0607,060702,,,,0.0,2654,0,
23536,776607,Arynów,229,52.20544,21.5369,PPL,2010-10-20,78,1412,141211,,Warszawa,6695624,0.5269349665045406,229,0,
23526,776597,Augustów,29752,53.84321,22.97979,PPLA3,2019-01-14,81,2001,200102,,,,0.0,29752,0,
47798,3104022,Babiak,1500,52.3453,18.66663,PPLA3,2010-10-15,86,3009,300902,,Łódź,3093133,0.2740235322505852,1500,0,
23505,776574,Babica,1200,49.93476,21.87035,PPL,2010-10-13,80,1819,181901,,,,0.0,1200,0,
23502,776571,Babice,321,51.69778,21.85601,PPL,2010-09-07,78,1403,140312,,Warszawa,6695624,0.31541793896736614,321,0,
23503,776572,Babice,966,50.35236,22.90203,PPL,2010-09-07,75,0602,060210,,,,0.0,966,0,
47792,3104016,Babice,335,50.17179,17.91492,PPL,2010-09-07,79,1602,160201,,,,0.0,335,0,
47793,3104017,Babice,864,50.1427,18.2973,PPL,2010-09-07,83,2411,241106,,,,0.0,864,0,
47795,3104019,Babice,1582,50.05565,19.19955,PPL,2010-09-07,77,1213,121306,,Kraków,3094802,0.4278037210142412,1582,0,
23504,776573,Babice,832,49.81838,22.47597,PPL,2010-10-13,80,1813,181305,,,,0.0,832,0,
47794,3104018,Babice,1369,50.06882,19.44906,PPLA3,2010-10-23,77,1203,120302,,Kraków,3094802,0.35196247676204423,1369,0,
47779,3104002,Babimost,4182,52.16488,15.82769,PPLA3,2013-04-02,76,0809,080901,,Poznań,3088171,0.27773622760233607,4182,0,
47772,3103995,Babki,434,52.3132,16.93697,PPL,2015-09-05,86,3021,302110,,Poznań,3088171,0.6901584756675533,434,0,
47766,3103989,Baborów,3114,50.1576,17.98513,PPLA3,2010-09-25,79,1602,160201,,,,0.0,3114,0,
23485,776553,Baboszewo,1800,52.6807,20.25527,PPLA3,2010-10-16,78,1420,142003,,Warszawa,6695624,0.2527278276374398,1800,0,
47748,3103971,Bachowice,2234,49.95812,19.49369,PPL,2010-10-17,77,1218,121806,,Kraków,3094802,0.36419154709649126,2234,0,
23448,776516,Baczków,753,50.03366,20.44127,PPL,2010-10-29,77,1201,120102,,Kraków,3094802,0.33788025760421053,753,0,
47743,3103966,Baczyn,840,49.79257,19.72063,PPL,2010-09-23,77,1215,121503,,Kraków,3094802,0.3643370601690645,840,0,
47742,3103965,Baczyna,900,52.755,15.11513,PPL,2012-11-26,76,0861,086101,,,,0.0,900,0,
23409,776477,Bakałarzewo,890,54.09398,22.65218,PPL,2010-09-07,81,2012,201201,,,,0.0,890,0,
47673,3103896,Balice,1200,50.08799,19.79462,PPL,2010-10-17,77,1206,120616,,Kraków,3094802,0.7286414005612845,1200,0,
23390,776458,Baligród,1468,49.3309,22.28566,PPLA3,2010-09-25,80,1821,182101,,,,0.0,1468,0,
23378,776446,Bandrów Narodowy,500,49.38807,22.70874,PPL,2010-11-28,80,1801,180108,,,,0.0,500,0,
47662,3103884,Banie,1967,53.10031,14.66228,PPLA3,2011-07-31,87,3206,320601,,,,0.0,1967,0,
23373,776441,Banie Mazurskie,1500,54.24662,22.03617,PPL,2010-09-09,85,2818,281801,,,,0.0,1500,0,
47660,3103882,Banino,2593,54.39215,18.40622,PPL,2010-10-21,82,2205,220508,,,,0.0,2593,0,
23372,776440,Baniocha,4000,52.01653,21.13984,PPL,2010-10-30,78,1418,141801,,Warszawa,6695624,0.6204218310696411,4000,0,
23336,776404,Baranowo,85,54.31252,22.98709,PPL,2010-09-18,81,2012,201206,,,,0.0,85,0,
